"","Cell","Batch","Group","ExpLibSize","Step","sizeFactor"
"Cell1","Cell1","Batch1","1","44759.6223889403","46","0.752567145217107"
"Cell2","Cell2","Batch1","2","50557.6292296433","87","0.818898212204341"
"Cell3","Cell3","Batch1","2","46625.5553624968","32","0.773638171939425"
"Cell4","Cell4","Batch1","4","68422.5421956964","3","1.13299435820524"
"Cell5","Cell5","Batch1","1","46251.3560482298","90","0.757260535904477"
"Cell6","Cell6","Batch1","4","39854.8463769745","14","0.656516740695514"
"Cell7","Cell7","Batch1","4","89703.8886556776","71","1.49351568691443"
"Cell8","Cell8","Batch1","3","73217.8628014973","90","1.1989643951396"
"Cell9","Cell9","Batch1","3","70503.9996802999","94","1.15125919678931"
"Cell10","Cell10","Batch1","1","52428.3284386001","59","0.860531541483562"
"Cell11","Cell11","Batch1","1","59739.2031919884","77","0.981870460163326"
"Cell12","Cell12","Batch1","1","67774.1038086346","92","1.11034792761584"
"Cell13","Cell13","Batch1","3","46339.6039624798","2","0.753322026236754"
"Cell14","Cell14","Batch1","2","58404.4716202394","98","0.943026908565408"
"Cell15","Cell15","Batch1","3","62016.0394204777","60","1.01541343416677"
"Cell16","Cell16","Batch1","2","83998.5452224013","75","1.36364333062127"
"Cell17","Cell17","Batch1","3","68079.1680806994","41","1.10002575019501"
"Cell18","Cell18","Batch1","4","77377.1353073312","55","1.27095706977419"
"Cell19","Cell19","Batch1","2","61581.0452204344","53","1.01252519374377"
"Cell20","Cell20","Batch1","3","47930.1232382638","87","0.787193209379171"
"Cell21","Cell21","Batch1","4","55941.6580219332","11","0.919740470154997"
"Cell22","Cell22","Batch1","1","42918.0203779461","33","0.697706987637117"
"Cell23","Cell23","Batch1","3","72097.1902507697","98","1.18829759812285"
"Cell24","Cell24","Batch1","1","79488.3196290492","92","1.3077164933396"
"Cell25","Cell25","Batch1","1","59127.7623065016","78","0.968184139067989"
"Cell26","Cell26","Batch1","2","49208.3957270236","63","0.801453896467718"
"Cell27","Cell27","Batch1","1","74416.2826908116","5","1.23296686193761"
"Cell28","Cell28","Batch1","2","61566.0219311598","17","1.0084718108774"
"Cell29","Cell29","Batch1","4","55422.7578813337","9","0.935018605574372"
"Cell30","Cell30","Batch1","2","74960.5372944941","29","1.23388584752675"
"Cell31","Cell31","Batch1","2","51432.7736823234","77","0.851505790161697"
"Cell32","Cell32","Batch1","2","75341.9090945667","28","1.23278634691117"
"Cell33","Cell33","Batch1","2","50589.7744159831","12","0.810299132763146"
"Cell34","Cell34","Batch1","1","64749.5913327505","100","1.05348569428809"
"Cell35","Cell35","Batch1","4","71558.8486690491","16","1.17464409794141"
"Cell36","Cell36","Batch1","3","45841.6459651974","98","0.751172256376455"
"Cell37","Cell37","Batch1","3","64836.5453985064","24","1.06275760246419"
"Cell38","Cell38","Batch1","1","58552.7091936822","92","0.955498855846531"
"Cell39","Cell39","Batch1","3","68538.3542304155","87","1.11528747515744"
"Cell40","Cell40","Batch1","2","51137.8605557521","7","0.842627732952371"
"Cell41","Cell41","Batch1","4","58841.5038797772","23","0.949853658656128"
"Cell42","Cell42","Batch1","3","78941.0619344139","27","1.30020050405703"
"Cell43","Cell43","Batch1","3","61926.1628635888","10","1.00615793644762"
"Cell44","Cell44","Batch1","2","70589.6060570513","26","1.16401012183856"
"Cell45","Cell45","Batch1","2","57286.5462661231","26","0.944241282379623"
"Cell46","Cell46","Batch1","3","48733.4859384652","65","0.793691750330914"
"Cell47","Cell47","Batch1","1","59743.4512831022","57","0.99673833415898"
"Cell48","Cell48","Batch1","2","46863.84534176","54","0.768600161656129"
"Cell49","Cell49","Batch1","3","35624.1024301361","1","0.580913765532183"
"Cell50","Cell50","Batch1","3","75646.3536959809","51","1.23825102907514"
"Cell51","Cell51","Batch1","2","48176.0956719944","79","0.78309059514196"
"Cell52","Cell52","Batch1","4","41555.426667471","9","0.682707829985872"
"Cell53","Cell53","Batch1","2","73061.4656793426","20","1.20840040788519"
"Cell54","Cell54","Batch1","1","59732.2672736237","86","0.977718614555268"
"Cell55","Cell55","Batch1","1","53107.5467800615","27","0.8763348115253"
"Cell56","Cell56","Batch1","1","57780.7181324001","65","0.954169608833675"
"Cell57","Cell57","Batch1","2","54984.3419376572","34","0.902328975332272"
"Cell58","Cell58","Batch1","2","73081.5891271937","12","1.19010274838723"
"Cell59","Cell59","Batch1","3","69253.7200472276","10","1.11564850521031"
"Cell60","Cell60","Batch1","2","42390.2592784062","70","0.684841189389222"
"Cell61","Cell61","Batch1","4","64259.1688959978","13","1.06539968603295"
"Cell62","Cell62","Batch1","1","69241.9888706913","16","1.1300897073253"
"Cell63","Cell63","Batch1","2","68435.8572598167","39","1.12537990618098"
"Cell64","Cell64","Batch1","2","36869.3749450531","20","0.599260656400992"
"Cell65","Cell65","Batch1","3","57121.0806054377","49","0.944060767353186"
"Cell66","Cell66","Batch1","1","88958.6259966503","63","1.46079323575843"
"Cell67","Cell67","Batch1","2","70217.9255917862","37","1.12987637138496"
"Cell68","Cell68","Batch1","3","42537.646544563","57","0.703614752138701"
"Cell69","Cell69","Batch1","1","42927.4284156784","4","0.699101876477768"
"Cell70","Cell70","Batch1","4","66053.6064623162","9","1.06960076301185"
"Cell71","Cell71","Batch1","2","57825.7179472768","65","0.94542283527994"
"Cell72","Cell72","Batch1","4","72566.460158262","15","1.18302984144227"
"Cell73","Cell73","Batch1","2","63498.1043916666","99","1.03210286888374"
"Cell74","Cell74","Batch1","2","60851.9943479944","6","1.00412303978596"
"Cell75","Cell75","Batch1","2","62114.3530080683","31","1.01984425754295"
"Cell76","Cell76","Batch1","4","61898.4864648096","89","1.0184493687023"
"Cell77","Cell77","Batch1","4","46447.6052165644","99","0.776887442415296"
"Cell78","Cell78","Batch1","2","95788.5717575084","30","1.57538745663222"
"Cell79","Cell79","Batch1","3","45143.3796745068","63","0.756948737222449"
"Cell80","Cell80","Batch1","4","59671.3748679785","42","0.970596476239469"
"Cell81","Cell81","Batch1","2","53698.273517911","86","0.866324432786504"
"Cell82","Cell82","Batch1","3","85821.2965891305","86","1.39337907861258"
"Cell83","Cell83","Batch1","2","73297.9584300005","96","1.20803937783231"
"Cell84","Cell84","Batch1","2","53490.3578114995","89","0.881848725060112"
"Cell85","Cell85","Batch1","3","62385.2506777749","69","1.01805551773553"
"Cell86","Cell86","Batch1","1","75590.9911239467","12","1.21800052520026"
"Cell87","Cell87","Batch1","3","93644.8362840943","76","1.53370489598215"
"Cell88","Cell88","Batch1","1","63605.3595374034","72","1.06713919446953"
"Cell89","Cell89","Batch1","1","48605.8260149034","89","0.800108238997913"
"Cell90","Cell90","Batch1","1","49182.4207744542","46","0.808625266154364"
"Cell91","Cell91","Batch1","1","89423.9404952654","40","1.4669307466573"
"Cell92","Cell92","Batch1","1","39572.341380624","99","0.647408937088905"
"Cell93","Cell93","Batch1","3","110320.878295126","36","1.79518911700506"
"Cell94","Cell94","Batch1","4","56824.8995597303","19","0.934920142832679"
"Cell95","Cell95","Batch1","3","54672.7858512543","19","0.891842693341959"
"Cell96","Cell96","Batch1","3","61790.9449640292","66","1.03087208461258"
"Cell97","Cell97","Batch1","2","72162.6404430729","78","1.17251073853806"
"Cell98","Cell98","Batch1","2","63612.5244443662","42","1.04629791414449"
"Cell99","Cell99","Batch1","4","40488.3661189134","78","0.667643030506832"
"Cell100","Cell100","Batch1","3","64260.9452216875","69","1.03879833531887"
"Cell101","Cell101","Batch1","3","65518.3085720278","60","1.0731454217128"
"Cell102","Cell102","Batch1","2","68316.7443320027","6","1.11359719809171"
"Cell103","Cell103","Batch1","1","48713.7131917144","19","0.788588098219823"
"Cell104","Cell104","Batch1","4","37264.4632541554","6","0.610961312205519"
